Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,20.406667709350586,21.0086669921875,19.920000076293945,20.674667358398438,20.674667358398438,174879000
2019-01-03,20.46666717529297,20.626667022705078,19.825332641601562,20.02400016784668,20.02400016784668,104478000
2019-01-04,20.399999618530273,21.200000762939453,20.18199920654297,21.179332733154297,21.179332733154297,110911500
2019-01-07,21.447999954223633,22.44933319091797,21.183332443237305,22.33066749572754,22.33066749572754,113268000
2019-01-08,22.797332763671875,22.93400001525879,21.801332473754883,22.356666564941406,22.356666564941406,105127500
2019-01-09,22.366666793823242,22.899999618530273,22.097999572753906,22.568666458129883,22.568666458129883,81493500
2019-01-10,22.293333053588867,23.025999069213867,22.119333267211914,22.99799919128418,22.99799919128418,90846000
2019-01-11,22.805999755859375,23.227333068847656,22.584667205810547,23.150667190551758,23.150667190551758,75586500
2019-01-14,22.825332641601562,22.833332061767578,22.266666412353516,22.293333053588867,22.293333053588867,78709500
2019-01-15,22.333332061767578,23.253332138061523,22.299999237060547,22.961999893188477,22.961999893188477,90849000
2019-01-16,22.985332489013672,23.46666717529297,22.899999618530273,23.06999969482422,23.06999969482422,70375500
2019-01-17,23.08066749572754,23.433332443237305,22.94333267211914,23.15399932861328,23.15399932861328,55150500
2019-01-18,21.53333282470703,21.808666229248047,19.98200035095215,20.150667190551758,20.150667190551758,362262000
2019-01-22,20.321332931518555,20.53333282470703,19.700000762939453,19.92799949645996,19.92799949645996,181000500
2019-01-23,19.5,19.633333206176758,18.779333114624023,19.172666549682617,19.172666549682617,187950000
2019-01-24,18.868667602539062,19.57866668701172,18.618667602539062,19.43400001525879,19.43400001525879,120183000
2019-01-25,19.625999450683594,19.90133285522461,19.303333282470703,19.80266761779785,19.80266761779785,108744000
2019-01-28,19.527332305908203,19.83066749572754,19.183332443237305,19.7586669921875,19.7586669921875,96349500
2019-01-29,19.684667587280273,19.90399932861328,19.453332901000977,19.83066749572754,19.83066749572754,69325500
2019-01-30,20.030000686645508,20.600000381469727,19.89933204650879,20.584667205810547,20.584667205810547,168754500
2019-01-31,20.066667556762695,20.770666122436523,19.600000381469727,20.468000411987305,20.468000411987305,188538000
